index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Type of interaction,Type of effect description,Ecological Level of evidence,Outcome of interaction,Study date,study,publication
Scaling the consequences of interactions between invaders from the indivdual to the population level/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Marine,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one exotic contribues to population decline of other,Population,Abundance and or Density,2016,Scaling the consequences of interactions between invaders from the indivdual to the population level/Contribution 1,Scaling the consequences of interactions between invaders from the indivdual to the population level
Invasion of the redback spider Latrodectus hasseltii (Araneae: Theridiidae) into human-modified sand dune ecosystems in Japan/Contribution 1,Observational,Asia,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,Exotic spider uses exotic plant as habitat,Population,Abundance,2016,Invasion of the redback spider Latrodectus hasseltii (Araneae: Theridiidae) into human-modified sand dune ecosystems in Japan/Contribution 1,Invasion of the redback spider Latrodectus hasseltii (Araneae: Theridiidae) into human-modified sand dune ecosystems in Japan
Over-invasion in a freshwater ecosystem: newly introduced virile crayfish (Orconectes virilis) outcompete established invasive signal crayfish (Pacifastacus leniusculus)/Contribution 1,Experimental & Observational,Europe,Invasional meltdown,Questioned,Lab & Field,Freshwater,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Competition between invasive crayfish affects abundance and use o shelter,Individual/Population,Resource/ Abundance and or Density,2016,Over-invasion in a freshwater ecosystem: newly introduced virile crayfish (Orconectes virilis) outcompete established invasive signal crayfish (Pacifastacus leniusculus)/Contribution 1,Over-invasion in a freshwater ecosystem: newly introduced virile crayfish (Orconectes virilis) outcompete established invasive signal crayfish (Pacifastacus leniusculus)
Novel species interactions in a highly modified estuary: association of largemouth bass with Brazilian waterweed Egeria densa/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Freshwater,Plants;Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,Brazilian waterweed has expanded Largemouth Bass rearing habitat in the Delta,Population,Abundance and or Density,2016,Novel species interactions in a highly modified estuary: association of largemouth bass with Brazilian waterweed Egeria densa/Contribution 1,Novel species interactions in a highly modified estuary: association of largemouth bass with Brazilian waterweed Egeria densa
"Introduced blackbirds and song thrushes: useful substitutes for lost mid-sized native frugivores, or weed vectors/Contribution 1",Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Plants;Birds,6,Testing the invasional meltdown hypothesis in invasion biology,A = B,Exotic birds eat more fruit of exotic and disperse them,Population,Abundance and or Density,2016,"Introduced blackbirds and song thrushes: useful substitutes for lost mid-sized native frugivores, or weed vectors/Contribution 1","Introduced blackbirds and song thrushes: useful substitutes for lost mid-sized native frugivores, or weed vectors"
"Quantifying ""apparent"" impact and distinguishing impact from invasiveness in multispecies plant invasions/Contribution 1",Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,25,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"interactive effects of multiple invaders on native plant abundance (percent cover), we found no evidence for invasional meltdown or synergistic interactions",Population,Impact on native species,2016,"Quantifying ""apparent"" impact and distinguishing impact from invasiveness in multispecies plant invasions/Contribution 1","Quantifying ""apparent"" impact and distinguishing impact from invasiveness in multispecies plant invasions"
Regeneration response of Brazilian atlantic Forest woody species to four yers of Megathyrsus maximus removal/Contribution 1,Experimental,South America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,removal of exotic species had no efect over exotic abundance or richness,Population/Community,Abundance and or Density/Richness,2015,Regeneration response of Brazilian atlantic Forest woody species to four yers of Megathyrsus maximus removal/Contribution 1,Regeneration response of Brazilian atlantic Forest woody species to four yers of Megathyrsus maximus removal
Biodiversity ffects and rates of spred of nonnative eucalypt woodlands in central California/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,introduction of eucalypt does ot seem to have facilitated extensive establishment or proliferation of nonnative species,Population/Community,Abundance and or Density/Richness,2015,Biodiversity ffects and rates of spred of nonnative eucalypt woodlands in central California/Contribution 1,Biodiversity ffects and rates of spred of nonnative eucalypt woodlands in central California
Plantation of coniferous trees modifies risk and size of Padus serotina Borkh. Invasion - Evidence form a Rogów Arboretum case study/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,P. serotina benefits from the previous introduction of alien conifers by higher natural regeneration density and higher probability of establishment,Population,Abundance and or Density,2015,Plantation of coniferous trees modifies risk and size of Padus serotina Borkh. Invasion - Evidence form a Rogów Arboretum case study/Contribution 1,Plantation of coniferous trees modifies risk and size of Padus serotina Borkh. Invasion - Evidence form a Rogów Arboretum case study
Differential benthic community response to increased habitat complexity mediated by na invasive barnacle/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Marine,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher density of one nonnative when colonizing subtrate providd by nonnative ecosystem engineer,Population,Abundance and or Density,2015,Differential benthic community response to increased habitat complexity mediated by na invasive barnacle/Contribution 1,Differential benthic community response to increased habitat complexity mediated by na invasive barnacle
"Impact of Ligustrum lucidum on the soil seed bank in invaded subtropical seasonally dry woodlands (Córdoba, Argentina)/Contribution 1",Experimental & Observational,South America,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,higher abundance of some exotic species in the soil seed bank of exotic woodlands,Population,Abundance and or Density,2015,"Impact of Ligustrum lucidum on the soil seed bank in invaded subtropical seasonally dry woodlands (Córdoba, Argentina)/Contribution 1","Impact of Ligustrum lucidum on the soil seed bank in invaded subtropical seasonally dry woodlands (Córdoba, Argentina)"
Ecological impacts of the austral-most population of Crassostrea gigas in South America: a matter of time?/Contribution 1,Observational,South America,Invasional meltdown,Undecided,Field,Marine,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,exotic barnacle was sometimes more abundant over exoti oyster na sometimes less abundant,Population,Abundance and or Density,2015,Ecological impacts of the austral-most population of Crassostrea gigas in South America: a matter of time?/Contribution 1,Ecological impacts of the austral-most population of Crassostrea gigas in South America: a matter of time?
Effects of precipitation change and neighboring plants on population dynamics of Bromus tectorum/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,exotic plant biomass had no effect on population growth of exotic plant,Population,Abundance and or Density,2015,Effects of precipitation change and neighboring plants on population dynamics of Bromus tectorum/Contribution 1,Effects of precipitation change and neighboring plants on population dynamics of Bromus tectorum
Impact of na alien invasive shrub on ecology of native and alien invasive mosquito species (Diptera: Culicidae)/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,no effect of invasive plant litter on ovipsition of invasive mosquito,Individual,"Survival, Growth and or Reproduction",2015,Impact of na alien invasive shrub on ecology of native and alien invasive mosquito species (Diptera: Culicidae)/Contribution 1,Impact of na alien invasive shrub on ecology of native and alien invasive mosquito species (Diptera: Culicidae)
Feeding preferences of na invasive Ponto-Caspian goby for native and non-native gammarid prey/Contribution 1,Experimental,Europe,Invasional meltdown,Questioned,Lab,Freshwater,Crustaceans;Fishes,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,invasive prey was not prefered or facilitated the invasion of na invasive predator,Individual,"Survival, Growth and or Reproduction",2015,Feeding preferences of na invasive Ponto-Caspian goby for native and non-native gammarid prey/Contribution 1,Feeding preferences of na invasive Ponto-Caspian goby for native and non-native gammarid prey
"The positive interaction between two nonindigenous species, Casuarina (Casuarina equisetifolia) and Acacia (Acacia mangium), in the tropical coastal zone of south China: stand dynamics and soil nutrients/Contribution 1",Experimental,Asia,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,One exotic tree favour biomass of other and the other increases the fist growht,Individual/Population,"Survival, Growth and or Reproduction/ Abundance and or Density",2015,"The positive interaction between two nonindigenous species, Casuarina (Casuarina equisetifolia) and Acacia (Acacia mangium), in the tropical coastal zone of south China: stand dynamics and soil nutrients/Contribution 1","The positive interaction between two nonindigenous species, Casuarina (Casuarina equisetifolia) and Acacia (Acacia mangium), in the tropical coastal zone of south China: stand dynamics and soil nutrients"
Persistence of a soil legacy following removal of a nitrogen-fixing invader/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,1,Testing the invasional meltdown hypothesis in invasion biology,A - B,invader alter soil N and facilitate invasion of other exotics,Population,Abundance and or Density,2015,Persistence of a soil legacy following removal of a nitrogen-fixing invader/Contribution 1,Persistence of a soil legacy following removal of a nitrogen-fixing invader
Invader-invader mutualism influences land snail community composition and alters invasion success of alien species in tropical rainforest/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Insects;Molluscs,4,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,mutualism between two exotics favor another exotic abundance,Population/Community,Abundance and or Density/Impact on population and community,2015,Invader-invader mutualism influences land snail community composition and alters invasion success of alien species in tropical rainforest/Contribution 1,Invader-invader mutualism influences land snail community composition and alters invasion success of alien species in tropical rainforest
Single and interactive effects of deer and earthworms on non-native plants/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,in the presence of herbivore nonnative earthworm facilitated a exotic plant,Individual/Population,"Survival, Growth and or Reproduction/Abundance and or Density",2015,Single and interactive effects of deer and earthworms on non-native plants/Contribution 1,Single and interactive effects of deer and earthworms on non-native plants
Mutualism between fire ants and mealybugs reduce lady beetle predation/Contribution 1,Experimental & Observational,Asia,Invasional meltdown,Supported,Field & Enclosure,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,mutualism between two invasives reduce predation on one,Individual,"Survival, Growth and or Reproduction",2015,Mutualism between fire ants and mealybugs reduce lady beetle predation/Contribution 1,Mutualism between fire ants and mealybugs reduce lady beetle predation
"Invasive Scotch broom (Cytisus scoparius, Fabaceae) and the pollination success of three Garry oak-associated plant species/Contribution 1",Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,neutral effect of exptic plant on polination of other exotic,Individual,"Survival, Growth and or Reproduction",2015,"Invasive Scotch broom (Cytisus scoparius, Fabaceae) and the pollination success of three Garry oak-associated plant species/Contribution 1","Invasive Scotch broom (Cytisus scoparius, Fabaceae) and the pollination success of three Garry oak-associated plant species"
"Experimental test of the invasional meltdown hypothesis: na exotic herbivore facilitates na exotic plant, but the plant does not reciprocally facilitate the herbivore/Contribution 1",Experimental,North America,Invasional meltdown,Supported,Enclosure,Freshwater,Plants;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,"one exotic snail preferentially consumed native plants, favoring a exotic plant",Population,Abundance and or Density,2015,"Experimental test of the invasional meltdown hypothesis: na exotic herbivore facilitates na exotic plant, but the plant does not reciprocally facilitate the herbivore/Contribution 1","Experimental test of the invasional meltdown hypothesis: na exotic herbivore facilitates na exotic plant, but the plant does not reciprocally facilitate the herbivore"
A single ectomycorrhizal fungal species can enable a Pinus invasion/Contribution 1,Observational,South America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Fungi,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,pine invasion depend on ectomycorrhyzal fungal species,Individual,"Survival, Growth and or Reproduction",2015,A single ectomycorrhizal fungal species can enable a Pinus invasion/Contribution 1,A single ectomycorrhizal fungal species can enable a Pinus invasion
Comparisons of isotopic niche widths of some invasive and indigenous fauna in a South African river/Contribution 1,Observational,Africa,Invasional meltdown,Questioned,Field,Freshwater,Fishes;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Dietary overlap,Population,Implicit measure,2015,Comparisons of isotopic niche widths of some invasive and indigenous fauna in a South African river/Contribution 1,Comparisons of isotopic niche widths of some invasive and indigenous fauna in a South African river
Impacts of Celastrus-primed soil on common native and invasive woodland species/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Enclosure,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,Invasive plant have greater biomass (growth) in invaded soils,Individual,"Survival, Growth and or Reproduction",2015,Impacts of Celastrus-primed soil on common native and invasive woodland species/Contribution 1,Impacts of Celastrus-primed soil on common native and invasive woodland species
Non-native earthworms promote plant invasion by ingesting seeds and modifying soil properties/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,27,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,abundance of nonnative worms and plants were correlated. Also earthworms promote nonative seedling emergence,Individual/Population/Community,"Survival, Growth and or Reproduction/Abundance and or Density/Impact on community",2015,Non-native earthworms promote plant invasion by ingesting seeds and modifying soil properties/Contribution 1,Non-native earthworms promote plant invasion by ingesting seeds and modifying soil properties
Host-plant stickiness disrupts novel ant-mealybug association/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants;Insects,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,non-native plant disrupt mutualism between invasive ant and mealybug,Individual,"Survival, Growth and or Reproduction",2015,Host-plant stickiness disrupts novel ant-mealybug association/Contribution 1,Host-plant stickiness disrupts novel ant-mealybug association
Direct and indirect effects of invasion by the alien tree Alianthus altissimaon riparian palnt communities and ecossystem multifunctionality/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,nonnative presence associated with presence of another invasive,Population,Abundance and or Density,2015,Direct and indirect effects of invasion by the alien tree Alianthus altissimaon riparian palnt communities and ecossystem multifunctionality/Contribution 1,Direct and indirect effects of invasion by the alien tree Alianthus altissimaon riparian palnt communities and ecossystem multifunctionality
Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,earthworms were a significant predictor of the presence of nonnative plant,Population,Abundance and or Density,2015,Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest/Contribution 1,Historical anthropogenic disturbances influence patterns of non-native earthworm and plant invasions in a temperate primary forest
Patterns of adult abundance vary with recruitment of na invasive barnacle species in Hawaii/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Marine,Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,invasive barnacle abundance was lower in the presence of other nonnative,Population,Abundance and or Density,2015,Patterns of adult abundance vary with recruitment of na invasive barnacle species in Hawaii/Contribution 1,Patterns of adult abundance vary with recruitment of na invasive barnacle species in Hawaii
Core-satellite species hypothesis and native versus exotic species in secondary succession/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Terrestrial,Plants,74,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,there was no increase in exotic species where others were abundant,Population/Community,Abundance and or Density/Richness,2015,Core-satellite species hypothesis and native versus exotic species in secondary succession/Contribution 1,Core-satellite species hypothesis and native versus exotic species in secondary succession
"Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)/Contribution 1",Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,Indirect facilitation allowed range expansion,Population,Dispersal,2015,"Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)/Contribution 1","Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)"
The effects of mice on stoats in southern beech forests/Contribution 1,Observational,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,presence of nonnative prey is related to increased density of another nonnative,Population,Abundance and or Density,2015,The effects of mice on stoats in southern beech forests/Contribution 1,The effects of mice on stoats in southern beech forests
Cascading ecological effects caused by the establishment of the emerald ash borer Agrilus planipennis (Coleoptera: Buprestidae) in European Russia/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Terrestrial,Insects,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,Indirect facilitation allowed spread o two nonnative,Population,Dispersal,2015,Cascading ecological effects caused by the establishment of the emerald ash borer Agrilus planipennis (Coleoptera: Buprestidae) in European Russia/Contribution 1,Cascading ecological effects caused by the establishment of the emerald ash borer Agrilus planipennis (Coleoptera: Buprestidae) in European Russia
Plant community ssociations of two invasive thistles/Contribution 1,Observational,North America,Invasional meltdown,Undecided,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,some invasive were more frequent and abundant when associated with another invasive but ohter invasive species were not,Population,Abundance and or Density,2015,Plant community ssociations of two invasive thistles/Contribution 1,Plant community ssociations of two invasive thistles
Does whirling disease mediate hybridization between a native and nonnative trout?/Contribution 1,Observational,North America,Invasional meltdown,Undecided,Field,Freshwater,Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,hibridization between na exotic and a native increase impact on native species by a invasive disease,Population,Impact on native species,2015,Does whirling disease mediate hybridization between a native and nonnative trout?/Contribution 1,Does whirling disease mediate hybridization between a native and nonnative trout?
Pollen carried by native and nonative bees in the large-scale reforestation of pastureland in Hawaii: Implications for pollination/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Inscets,1,Testing the invasional meltdown hypothesis in invasion biology,A = B,nonnative species as important polinator of invasive,Individual,"Survival, Growth and or Reproduction",2015,Pollen carried by native and nonative bees in the large-scale reforestation of pastureland in Hawaii: Implications for pollination/Contribution 1,Pollen carried by native and nonative bees in the large-scale reforestation of pastureland in Hawaii: Implications for pollination
Novel interactions between non-native mammals and fungi facilitate establishment of invasive pines/Contribution 1,Experimental & Observational,Oceania,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Fungi;Mammals,5,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,mammals disperse fungus associated to invasive pine trees,Population,Dispersal,2015,Novel interactions between non-native mammals and fungi facilitate establishment of invasive pines/Contribution 1,Novel interactions between non-native mammals and fungi facilitate establishment of invasive pines
Canal type affects invasiveness of the apple snail Pomacea canaliculata through its effects on animal species richness and waterweed invasion/Contribution 1,Experimental & Observational,Asia,Invasional meltdown,Supported,Field,Freshwater,Plants;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,one nonnative serve as habitat for another which increases abundance,Population,Abundance and or Density,2015,Canal type affects invasiveness of the apple snail Pomacea canaliculata through its effects on animal species richness and waterweed invasion/Contribution 1,Canal type affects invasiveness of the apple snail Pomacea canaliculata through its effects on animal species richness and waterweed invasion
The targeting of large-sized benthic macrofauna by na invasive portunid predator: evidence form a caging study/Contribution 1,Experimental,Oceania,Invasional meltdown,Undecided,Field,Marine,Crustaceans;Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,"one non-native is important prey of another, thus one is benefited by the presence of the other and the other is negatively affected",Individual/Population,Resource/Abundance and or Density,2015,The targeting of large-sized benthic macrofauna by na invasive portunid predator: evidence form a caging study/Contribution 1,The targeting of large-sized benthic macrofauna by na invasive portunid predator: evidence form a caging study
Competitive replacement of invasive congeners may relax impact on native species/Contribution 1,Observational,North America,Invasional meltdown,Questioned,Field,Freshwater,Molluscs,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,competitive replacement of zebra with quagga mussels may result in reduced overall impact on unionid community,Population,Abundance and or Density,2014,Competitive replacement of invasive congeners may relax impact on native species/Contribution 1,Competitive replacement of invasive congeners may relax impact on native species
