index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of resistance/susceptibility,Measure of native biodiversity,Study date,same as,study,publication
Environmental productivity and biodiversity effects on invertebrate community invasibility/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Enclosure,Freshwater,Any invertebrates,,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Environmental productivity and biodiversity effects on invertebrate community invasibility/Contribution 1,Environmental productivity and biodiversity effects on invertebrate community invasibility
Environmental productivity and biodiversity effects on invertebrate community invasibility/Contribution 2,Experimental,North-America,Biotic resistence,Supported,Enclosure,Freshwater,Any invertebrates,,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Environmental productivity and biodiversity effects on invertebrate community invasibility/Contribution 2,Environmental productivity and biodiversity effects on invertebrate community invasibility
Diversity-invasibility across an experimental disturbance gradient in Appalachian forests/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,76,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Diversity-invasibility across an experimental disturbance gradient in Appalachian forests/Contribution 1,Diversity-invasibility across an experimental disturbance gradient in Appalachian forests
"Patterns of phylogenetic diversity are linked to invasion impacts, not invasion resistance, in a native grassland/Contribution 1",Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,146,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Proxy,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Patterns of phylogenetic diversity are linked to invasion impacts, not invasion resistance, in a native grassland/Contribution 1","Patterns of phylogenetic diversity are linked to invasion impacts, not invasion resistance, in a native grassland"
How does Reynoutria invasion fit the various theories of invasibility?/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",How does Reynoutria invasion fit the various theories of invasibility?/Contribution 1,How does Reynoutria invasion fit the various theories of invasibility?
Determinants of establishment success in introduced birds/Contribution 2,Observational or correlational,All continents except Antarctica,Biotic resistence,Questioned,Field,Terrestrial,Birds,389,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Proxy,2001,,Determinants of establishment success in introduced birds/Contribution 2,Determinants of establishment success in introduced birds
Phosphorus addition reduces invasion of a longleaf pine savanna (Southeastern USA) by a non-indigenous grass (Imperata cylindrica)/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Phosphorus addition reduces invasion of a longleaf pine savanna (Southeastern USA) by a non-indigenous grass (Imperata cylindrica)/Contribution 1,Phosphorus addition reduces invasion of a longleaf pine savanna (Southeastern USA) by a non-indigenous grass (Imperata cylindrica)
"Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae/Contribution 1",Experimental,North-America,Biotic resistence,Supported,Field,Marine,Algae,1,Testing the biotic resistence hypothesis in invasion biology,Recruitment of exotic individuals,Number of native functional groups,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae/Contribution 1","Functional group diversity, resource preemption and the genesis of invasion resistance in a community of marine algae"
Diversity and invasibility of southern Apalachian plant communities/Contribution 1,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,50,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Diversity and invasibility of southern Apalachian plant communities/Contribution 1,Diversity and invasibility of southern Apalachian plant communities
Control of plant species diversity and community invasibility by species immigration: seed richness versus seed density/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,16,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Control of plant species diversity and community invasibility by species immigration: seed richness versus seed density/Contribution 1,Control of plant species diversity and community invasibility by species immigration: seed richness versus seed density
Landscape-scale patterns of biological invasions in shoreline plant communities/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Freshwater and marine,Plants,79,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Landscape-scale patterns of biological invasions in shoreline plant communities/Contribution 1,Landscape-scale patterns of biological invasions in shoreline plant communities
Evidence for spider community resilience to invasion by non-native spiders/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Other invertebrates,5,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Evidence for spider community resilience to invasion by non-native spiders/Contribution 1,Evidence for spider community resilience to invasion by non-native spiders
Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass/Contribution 2,Experimental,North-America,Biotic resistence,Supported,Enclosure,Terrestrial,Plants,36,Testing the biotic resistence hypothesis in invasion biology,Growth of exotic species,Number of native functional groups,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass/Contribution 2,Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass
"Interactions between abiotic constraint, propagule pressure, and biotic resistance regulate plant invasion/Contribution 1",Experimental,North-America,Biotic resistence,Supported,Enclosure,Terrestrial,Plants,6,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Interactions between abiotic constraint, propagule pressure, and biotic resistance regulate plant invasion/Contribution 1","Interactions between abiotic constraint, propagule pressure, and biotic resistance regulate plant invasion"
Aquatic plant community invasibility and scale-dependent patterns in native and invasive species richness/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Freshwater,Plants,8,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Aquatic plant community invasibility and scale-dependent patterns in native and invasive species richness/Contribution 1,Aquatic plant community invasibility and scale-dependent patterns in native and invasive species richness
"INVASION RESISTANCE, SPECIES BUILDUP AND COMMUNITY COLLAPSE IN METAPOPULATION MODELS WITH INTERSPECIES COMPETITION/Contribution 1",Observational or correlational,"['Africa', 'Europe', 'North-America', 'Oceania']",Biotic resistence,Supported,Field,Terrestrial,Birds,,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,1991,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","INVASION RESISTANCE, SPECIES BUILDUP AND COMMUNITY COLLAPSE IN METAPOPULATION MODELS WITH INTERSPECIES COMPETITION/Contribution 1","INVASION RESISTANCE, SPECIES BUILDUP AND COMMUNITY COLLAPSE IN METAPOPULATION MODELS WITH INTERSPECIES COMPETITION"
Global patterns in the establishment and distribution of exotic birds/Contribution 2,Observational or correlational,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Biotic resistence,Supported,Field,Terrestrial,Birds,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1996,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Global patterns in the establishment and distribution of exotic birds/Contribution 2,Global patterns in the establishment and distribution of exotic birds
Global patterns in the establishment and distribution of exotic birds/Contribution 3,Observational or correlational,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Biotic resistence,Questioned,Field,Terrestrial,Birds,,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,1996,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Global patterns in the establishment and distribution of exotic birds/Contribution 3,Global patterns in the establishment and distribution of exotic birds
Global patterns of introduction effort and establishment success in birds/Contribution 4,Observational or correlational,All continents except Antarctica,Biotic resistence,Questioned,Field,Terrestrial,Birds,416,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Proxy,2004,,Global patterns of introduction effort and establishment success in birds/Contribution 4,Global patterns of introduction effort and establishment success in birds
Spread of introduced Caulerpa species in macroalgal habitats/Contribution 1,Experimental,Europe,Biotic resistence,Questioned,Field,Marine,Algae,2,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2002,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Spread of introduced Caulerpa species in macroalgal habitats/Contribution 1,Spread of introduced Caulerpa species in macroalgal habitats
"Native-exotic species richness relationships across spatial scales and biotic homogenization in wetland plant communities of Illinois, USA/Contribution 1",Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,404,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Native-exotic species richness relationships across spatial scales and biotic homogenization in wetland plant communities of Illinois, USA/Contribution 1","Native-exotic species richness relationships across spatial scales and biotic homogenization in wetland plant communities of Illinois, USA"
Human-related processes drive the richness of exotic birds in Europe/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Birds,175,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2009,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Human-related processes drive the richness of exotic birds in Europe/Contribution 1,Human-related processes drive the richness of exotic birds in Europe
"Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 1",Observational or correlational,"['Antarctica', 'Oceania', 'South-America']",Biotic resistence,Questioned,Field,Terrestrial,Insects,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1998,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 1","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation"
"Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 2",Observational or correlational,"['Antarctica', 'Oceania', 'South-America']",Biotic resistence,Questioned,Field,Terrestrial,Birds,20,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1998,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 2","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation"
"Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 3",Observational or correlational,"['Antarctica', 'Oceania', 'South-America']",Biotic resistence,Questioned,Field,Terrestrial,Mammals,20,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,1998,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation/Contribution 3","Ecological biogeography of southern oceanic islands: species-area relationships, human impacts, and conservation"
Invasion in space and time: non-native species richness and relative abundance respond to interannual variation in productivity and diversity/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,18,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasion in space and time: non-native species richness and relative abundance respond to interannual variation in productivity and diversity/Contribution 1,Invasion in space and time: non-native species richness and relative abundance respond to interannual variation in productivity and diversity
Species richness and exotic species invasion in middle Tennessee cedar glades in relation to abiotic and biotic factors/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,44,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Species richness and exotic species invasion in middle Tennessee cedar glades in relation to abiotic and biotic factors/Contribution 1,Species richness and exotic species invasion in middle Tennessee cedar glades in relation to abiotic and biotic factors
Elton's hypothesis revisited: an experimental test using cogongrass/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Spread of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Elton's hypothesis revisited: an experimental test using cogongrass/Contribution 1,Elton's hypothesis revisited: an experimental test using cogongrass
Effect of microbial species richness on community stability and community function in a model plant-based wastewater processing system/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Lab,Terrestrial,Eubacteria;Archaea;viruses,1,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Effect of microbial species richness on community stability and community function in a model plant-based wastewater processing system/Contribution 1,Effect of microbial species richness on community stability and community function in a model plant-based wastewater processing system
Invasion of exotic plant species in tallgrass prairie fragments/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,59,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2003,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Invasion of exotic plant species in tallgrass prairie fragments/Contribution 1,Invasion of exotic plant species in tallgrass prairie fragments
Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure/Contribution 2,Observational or correlational,"['Asia', 'North-America', 'Oceania']",Biotic resistence,Supported,Field,Terrestrial,Plants,1508,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure/Contribution 2,Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure
Role of species identity in plant invasions: experimental test using Imperata cylindrica/Contribution 2,Experimental,North-America,Biotic resistence,Questioned,Enclosure,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native species,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Role of species identity in plant invasions: experimental test using Imperata cylindrica/Contribution 2,Role of species identity in plant invasions: experimental test using Imperata cylindrica
Native communities determine the identity of exotic invaders even at scales at which communities are unsaturated/Contribution 1,Observational or correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,156,Testing the biotic resistence hypothesis in invasion biology,Proxy,Proxy,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Native communities determine the identity of exotic invaders even at scales at which communities are unsaturated/Contribution 1,Native communities determine the identity of exotic invaders even at scales at which communities are unsaturated
Productivity alters the scale dependence of the diversity-invasibility relationship/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,79,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Productivity alters the scale dependence of the diversity-invasibility relationship/Contribution 1,Productivity alters the scale dependence of the diversity-invasibility relationship
Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationship/Contribution 1,Observational or correlational,North-America,Biotic resistence,Undecided,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationship/Contribution 1,Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationship
"Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil/Contribution 1",Observational or correlational,,Biotic resistence,Undecided,Field,Terrestrial,Plants,125,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2015,,"Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil/Contribution 1","Community structure, succession and invasibility in a seasonal deciduous forest in southern Brazil"
The response of plant community diversity to alien invasion: evidence from a sand dune time series/Contribution 1,Observational or correlational,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",The response of plant community diversity to alien invasion: evidence from a sand dune time series/Contribution 1,The response of plant community diversity to alien invasion: evidence from a sand dune time series
Darwin's naturalization conundrum: dissecting taxonomic patterns of species invasions/Contribution 1,Observational or correlational,Oceania,Biotic resistence,Undecided,Field,Terrestrial,Plants,847,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Darwin's naturalization conundrum: dissecting taxonomic patterns of species invasions/Contribution 1,Darwin's naturalization conundrum: dissecting taxonomic patterns of species invasions
Diversity of locust gut bacteria protects against pathogen invasion/Contribution 1,Experimental,Europe,Biotic resistence,Supported,Lab,Terrestrial,Eubacteria;Archaea;viruses,1,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Diversity of locust gut bacteria protects against pathogen invasion/Contribution 1,Diversity of locust gut bacteria protects against pathogen invasion
Short-term invasibility patterns in burnt and unburnt experimental Mediterranean grassland communities of varying diversities/Contribution 1,Experimental,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,83,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2005,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Short-term invasibility patterns in burnt and unburnt experimental Mediterranean grassland communities of varying diversities/Contribution 1,Short-term invasibility patterns in burnt and unburnt experimental Mediterranean grassland communities of varying diversities
Biodiversity and invasibility in grassland microcosms/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Biodiversity and invasibility in grassland microcosms/Contribution 1,Biodiversity and invasibility in grassland microcosms
"""The rich get richer"" concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)/Contribution 1",Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,116,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2015,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","""The rich get richer"" concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)/Contribution 1","""The rich get richer"" concept in riparian woody species - A case study of the Warta River Valley (Poznan, Poland)"
Food web structure provides biotic resistance against plankton invasion attempts/Contribution 1,Experimental,North-America,Biotic resistence,Supported,Lab,Freshwater,Crustaceans,1,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Food web structure provides biotic resistance against plankton invasion attempts/Contribution 1,Food web structure provides biotic resistance against plankton invasion attempts
"Invasibility of experimental grassland communities: the role of earthworms, plant functional group identity and seed size/Contribution 1",Experimental,Europe,Biotic resistence,Supported,Field,Terrestrial,Plants,9,Testing the biotic resistence hypothesis in invasion biology,Cover of exotic species,Number of native functional groups,2008,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Invasibility of experimental grassland communities: the role of earthworms, plant functional group identity and seed size/Contribution 1","Invasibility of experimental grassland communities: the role of earthworms, plant functional group identity and seed size"
Araucaria Forest conservation: mechanisms providing resistance to invasion by exotic timber trees/Contribution 1,Experimental,South-America,Biotic resistence,Supported,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Survival of exotic individuals,Proxy,2011,,Araucaria Forest conservation: mechanisms providing resistance to invasion by exotic timber trees/Contribution 1,Araucaria Forest conservation: mechanisms providing resistance to invasion by exotic timber trees
"Dominant species identity, not community evenness, regulates invasion in experimental grassland plant communities/Contribution 1",Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,4,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Dominant species identity, not community evenness, regulates invasion in experimental grassland plant communities/Contribution 1","Dominant species identity, not community evenness, regulates invasion in experimental grassland plant communities"
Species-rich Scandinavian grasslands are inherently open to invasion/Contribution 2,Experimental,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,1,Testing the biotic resistence hypothesis in invasion biology,Recruitment of exotic individuals,Number of native functional groups,2006,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Species-rich Scandinavian grasslands are inherently open to invasion/Contribution 2,Species-rich Scandinavian grasslands are inherently open to invasion
"Assessing the Relative Importance of Disturbance, Herbivory, Diversity, and Propagule Pressure in Exotic Plant Invasion/Contribution 2",Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,3,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native species,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Assessing the Relative Importance of Disturbance, Herbivory, Diversity, and Propagule Pressure in Exotic Plant Invasion/Contribution 2","Assessing the Relative Importance of Disturbance, Herbivory, Diversity, and Propagule Pressure in Exotic Plant Invasion"
"The rich generally get richer, but there are exceptions: Correlations between species richness of native plant species and alien weeds in Mexico/Contribution 1",Observational or correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,617,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","The rich generally get richer, but there are exceptions: Correlations between species richness of native plant species and alien weeds in Mexico/Contribution 1","The rich generally get richer, but there are exceptions: Correlations between species richness of native plant species and alien weeds in Mexico"
