index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of disturbance,Type of disturbance,Direct anthropogenic dist.?,Study date,study,publication
"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 1",Experimental,North America,Abundance/density of exotic species,Disturbance,Questioned,Field,Terrestrial,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,fire (burned and unburned plots),Management methods,Yes,2003,"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 1","Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass"
"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 2",Experimental,North America,Biomass of exotic species,Disturbance,Questioned,Field,Terrestrial,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,fire (burned and unburned plots),Management methods,Yes,2003,"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 2","Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass"
"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 3",Experimental,North America,Abundance/density of exotic species,Disturbance,Undecided,Field,Terrestrial,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,grazing (mowed and unmowed plots) (Questioned) + nutrient addition treatments (Nitrogen) (Supported),Economic land use,Yes,2003,"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 3","Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass"
"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 4",Experimental,North America,Biomass of exotic species,Disturbance,Undecided,Field,Terrestrial,Other invertebrates,1,Testing the disturbance hypothesis in invasion biology,grazing (mowed and unmowed polts) (Ques.) + nutrient addition treatments (Nitrogen) (Sup.),Economic land use,Yes,2003,"Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass/Contribution 4","Macroinvertebrates in North American tallgrass prairie soils: effects of fire, mowing, and fertilization on density and biomass"
Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,disturbed by clipping all vegetation and then manually turning over and mixing the top 10 cm of soil and seeds,Economic land use,Yes,2012,Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range/Contribution 1,Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range
Introduced and native ground beetle assemblages (Coleoptera: Carabidae) along a successional gradient in an urban landscape/Contribution 1,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Insects,6,Testing the disturbance hypothesis in invasion biology,"different habitat types (agricultural fields, old fields, young forests, old forests",Economic land use,Yes,2009,Introduced and native ground beetle assemblages (Coleoptera: Carabidae) along a successional gradient in an urban landscape/Contribution 1,Introduced and native ground beetle assemblages (Coleoptera: Carabidae) along a successional gradient in an urban landscape
A comparison of the urban flora of different phytoclimatic regions in Italy/Contribution 1,Observational or correlational,Europe,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,201,Testing the disturbance hypothesis in invasion biology," urban environment in cities - The different habitat types are indicated: S, semi-natural; F, fallow; P, park; A, archaeological site; D, dumping site; I, industrial site; Y, recent housing development; R, residential area; O, old town centre; H, heavily disturbed site.",Urbanization,Yes,1998,A comparison of the urban flora of different phytoclimatic regions in Italy/Contribution 1,A comparison of the urban flora of different phytoclimatic regions in Italy
Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona/Contribution 1,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,30,Testing the disturbance hypothesis in invasion biology,"fire severity (unburned, moderate and high severity burn)  (slope and soil parent material)",Fire,No,2001,Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona/Contribution 1,Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona
Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona/Contribution 2,Observational or correlational,North America,Number of exotic species ,Disturbance,Questioned,Field,Terrestrial,Plants,30,Testing the disturbance hypothesis in invasion biology,"fire severity (unburned, moderate and high severity burn)  (slope and soil parent material)",Fire,No,2001,Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona/Contribution 2,Responses of exotic plant species to fires in Pinus ponderosa forests in northern Arizona
Aquatic pollution increases the relative success of invasive species/Contribution 1,Experimental,North America,Number of exotic species,Disturbance,Supported,Field,Marine,Other invertebrates,14,Testing the disturbance hypothesis in invasion biology,copper concentrations,Urbanization,Yes,2011,Aquatic pollution increases the relative success of invasive species/Contribution 1,Aquatic pollution increases the relative success of invasive species
Variable effects of feral pig disturbances on native and exotic plants in a California grassland/Contribution 1,Experimental,North America,Number of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,feral pig - soil disturbance,Soil disturbance,No,2004,Variable effects of feral pig disturbances on native and exotic plants in a California grassland/Contribution 1,Variable effects of feral pig disturbances on native and exotic plants in a California grassland
Variable effects of feral pig disturbances on native and exotic plants in a California grassland/Contribution 2,Experimental,North America,Biomass of exotic species,Disturbance,Supported,Enclosure,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,feral pig - soil disturbance,Soil disturbance,No,2004,Variable effects of feral pig disturbances on native and exotic plants in a California grassland/Contribution 2,Variable effects of feral pig disturbances on native and exotic plants in a California grassland
Factors influencing dynamics of two invasive C-4 grasses in seasonally dry Hawaiian woodlands/Contribution 1,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,burned and unburned sites,Fire,No,2001,Factors influencing dynamics of two invasive C-4 grasses in seasonally dry Hawaiian woodlands/Contribution 1,Factors influencing dynamics of two invasive C-4 grasses in seasonally dry Hawaiian woodlands
Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 1,Observational or correlational,North America, Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"burn severity (unburned, low, moderate, high)  (human-ignited wildfire)",Others,Yes,2008,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 1,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest
Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 2,Observational or correlational,North America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"burn severity (unburned, low, moderate, high)  (human-ignited wildfire)",Others,Yes,2008,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 2,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest
Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 3,Observational or correlational,North America,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,7,Testing the disturbance hypothesis in invasion biology,"burn severity (unburned, low, moderate, high)  (human-ignited wildfire)",Others,Yes,2008,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest/Contribution 3,Dalmatian toadflax (Linaria dalmatica) response to wildfire in a southwestern USA forest
Effects of surrounding urbanization on non-native flora in small forest patches/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,62,Testing the disturbance hypothesis in invasion biology," forested, agricultural, and urban landscapes (residential  areas)
",Urbanization,Yes,2007,Effects of surrounding urbanization on non-native flora in small forest patches/Contribution 1,Effects of surrounding urbanization on non-native flora in small forest patches
Exotic invasive species in urban wetlands: environmental correlates and implications for wetland management/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology," industrial land use and naturally vegetated area 
",Urbanization,Yes,2008,Exotic invasive species in urban wetlands: environmental correlates and implications for wetland management/Contribution 1,Exotic invasive species in urban wetlands: environmental correlates and implications for wetland management
"Soil disturbance, vegetation cover and the establishment of the exotic shrub Pyracantha coccinea in southern France/Contribution 1",Experimental,Europe,Establishment success,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,soil and vegetation disturbance of agricultural old fields , Economic land use ,Yes,2010,"Soil disturbance, vegetation cover and the establishment of the exotic shrub Pyracantha coccinea in southern France/Contribution 1","Soil disturbance, vegetation cover and the establishment of the exotic shrub Pyracantha coccinea in southern France"
Re-colonisation rate differs between co-existing indigenous and invasive intertidal mussels following major disturbance/Contribution 1,Observational or correlational,Africa,Cover of exotic species,Disturbance,Supported,Field,Marine,Molluscs,1,Testing the disturbance hypothesis in invasion biology,before storms and after storms, Storm,No,2006,Re-colonisation rate differs between co-existing indigenous and invasive intertidal mussels following major disturbance/Contribution 1,Re-colonisation rate differs between co-existing indigenous and invasive intertidal mussels following major disturbance
Relative importance of wetland type versus anthropogenic activities in determining site invasibility/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,10,Testing the disturbance hypothesis in invasion biology,"we evaluated study sites based upon the qualitative intensity of human activities (Possible disturbance rankings: 1 to 24, where a rank of 1 indicated a wetland surrounded by natural forest or grassland and a rank of 24 represented an urban wetland)",Others,Yes,2006,Relative importance of wetland type versus anthropogenic activities in determining site invasibility/Contribution 1,Relative importance of wetland type versus anthropogenic activities in determining site invasibility
Relative importance of wetland type versus anthropogenic activities in determining site invasibility/Contribution 2,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,10,Testing the disturbance hypothesis in invasion biology,"we evaluated study sites based upon the qualitative intensity of human activities (Possible disturbance rankings: 1 to 24, where a rank of 1 indicated a wetland surrounded by natural forest or grassland and a rank of 24 represented an urban wetland)",Others,Yes,2006,Relative importance of wetland type versus anthropogenic activities in determining site invasibility/Contribution 2,Relative importance of wetland type versus anthropogenic activities in determining site invasibility
Camponotus punctulatus ant's demography: a temporal study across land-use types and spatial scales/Contribution 1,Observational or correlational,South America,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Insects,1,Testing the disturbance hypothesis in invasion biology,gradient of increasing agricultural disturbance (Abandoned rice fields represented the greatest disturbance. Sown pastures were intermediate. Natural grasslands represented no agricultural disturbance),Economic land use ,Yes,2007,Camponotus punctulatus ant's demography: a temporal study across land-use types and spatial scales/Contribution 1,Camponotus punctulatus ant's demography: a temporal study across land-use types and spatial scales
Patterns of alien plant distribution in a river landscape following an extreme flood/Contribution 1,Observational or correlational,Africa,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,28,Testing the disturbance hypothesis in invasion biology,"3000 m3s? 1 flood discharge, intermediate discharge,7000 m3s? 1flood discharge ",Flood,No,2008,Patterns of alien plant distribution in a river landscape following an extreme flood/Contribution 1,Patterns of alien plant distribution in a river landscape following an extreme flood
Patterns of alien plant distribution in a river landscape following an extreme flood/Contribution 2,Observational or correlational,Africa,Abundance/density of exotic species,Disturbance,Undecided ,Field,Terrestrial,Plants,28,Testing the disturbance hypothesis in invasion biology,"3000 m3s? 1 flood discharge, intermediate discharge,7000 m3s? 1 flood discharge (upper, mid and lower zones of the riverzone)",Flood,No,2008,Patterns of alien plant distribution in a river landscape following an extreme flood/Contribution 2,Patterns of alien plant distribution in a river landscape following an extreme flood
Plant and Small Vertebrate Composition and Diversity 36-39 Years After Root Plowing/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,2,Testing the disturbance hypothesis in invasion biology,36-39 years after root plowing,Management methods,Yes,2013,Plant and Small Vertebrate Composition and Diversity 36-39 Years After Root Plowing/Contribution 1,Plant and Small Vertebrate Composition and Diversity 36-39 Years After Root Plowing
"Anthropogenic and environmental effects on invasive mammal distribution in northern Patagonia, Argentina/Contribution 1",Observational or correlational,South America,Abundance/density of exotic species,Disturbance,Supported ,Enclosure,Terrestrial,Mammals,2,Testing the disturbance hypothesis in invasion biology,"with cameras measured three anthropogenic (distance to nearest human settlement, distance to nearest road, and average daily number of people) variables",Urbanization ,Yes,2015,"Anthropogenic and environmental effects on invasive mammal distribution in northern Patagonia, Argentina/Contribution 1","Anthropogenic and environmental effects on invasive mammal distribution in northern Patagonia, Argentina"
Roads as conduits for exotic plant invasions in a semiarid landscape/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology,roadside verges and  adjacent interior areas - level of road improvement,Urbanization,Yes,2003,Roads as conduits for exotic plant invasions in a semiarid landscape/Contribution 1,Roads as conduits for exotic plant invasions in a semiarid landscape
Roads as conduits for exotic plant invasions in a semiarid landscape/Contribution 2,Observational or correlational,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology,roadside verges and  adjacent interior areas - level of road improvement,Urbanization,Yes,2003,Roads as conduits for exotic plant invasions in a semiarid landscape/Contribution 2,Roads as conduits for exotic plant invasions in a semiarid landscape
Testing life history correlates of invasiveness using congeneric plant species/Contribution 1,Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Undecided,Field,Terrestrial,Plants,3,Testing the disturbance hypothesis in invasion biology,All vegetation was clipped to a height of 5 cm and removed,Others,Yes,2003,Testing life history correlates of invasiveness using congeneric plant species/Contribution 1,Testing life history correlates of invasiveness using congeneric plant species
Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity/Contribution 1,Observational or correlational,North America,Number of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology,distance from areas of human disturbance,Urbanization,Yes,2005,Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity/Contribution 1,Invasibility and abiotic gradients: the positive correlation between native and exotic plant diversity
Fire and competition in a southern California grassland: impacts on the rare forb Erodium macrophyllum/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Undecided ,Field,Terrestrial,Plants,,Testing the disturbance hypothesis in invasion biology,burned and non-burned ,Others,Yes,2004,Fire and competition in a southern California grassland: impacts on the rare forb Erodium macrophyllum/Contribution 1,Fire and competition in a southern California grassland: impacts on the rare forb Erodium macrophyllum
Impacts and interactions of multiple human perturbations in a California salt marsh/Contribution 1,Experimental,North America,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,9,Testing the disturbance hypothesis in invasion biology,trampling (three passes once per week) and untrampled plots (mimicking effects of upland agriculture),Economic land use ,Yes,2008,Impacts and interactions of multiple human perturbations in a California salt marsh/Contribution 1,Impacts and interactions of multiple human perturbations in a California salt marsh
Anthropogenic fires increase alien and native annual species in the Chilean coastal matorral/Contribution 1,Experimental,South America,Establishment success,Disturbance,Questioned,Field,Terrestrial,Plants,28,Testing the disturbance hypothesis in invasion biology,burned area and unburned area + seeds,Fire,No,2011,Anthropogenic fires increase alien and native annual species in the Chilean coastal matorral/Contribution 1,Anthropogenic fires increase alien and native annual species in the Chilean coastal matorral
Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape/Contribution 1,Experimental,Oceania,Abundance/density of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,prescribed burns,Fire,No,2011,Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape/Contribution 1,Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape
Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape/Contribution 2,Experimental,Oceania,Biomass of exotic species,Disturbance,Undecided ,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,prescribed burns,Fire,No,2011,Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape/Contribution 2,Fire does not facilitate invasion by alien annual grasses in an infertile Australian agricultural landscape
